runs	id	datetime	bid	ask
1	1	2022-03-04 21:16:57.750349	126.533	126.54
1	2	2022-03-04 21:17:07.909558	126.535	126.54
1	2	2022-03-04 21:17:17.845438	126.534	126.539
1	2	2022-03-04 21:17:27.764025	126.536	126.541
1	2	2022-03-04 21:17:37.702444	126.547	126.552
2	1	2022-03-04 21:18:47.425521	126.552	126.557
2	3	2022-03-04 21:18:57.557405	126.548	126.553
2	3	2022-03-04 21:19:07.553072	126.547	126.552
2	3	2022-03-04 21:19:17.572137	126.538	126.543
2	3	2022-03-04 21:19:27.543087	126.539	126.544
2	3	2022-03-04 21:19:37.643799	126.538	126.543
2	3	2022-03-04 21:19:48.030913	126.544	126.549
2	3	2022-03-04 21:19:57.451876	126.552	126.557
2	3	2022-03-04 21:20:07.382835	126.55	126.555
2	3	2022-03-04 21:20:17.496527	126.555	126.56
2	3	2022-03-04 21:20:27.542171	126.548	126.553
2	3	2022-03-04 21:20:37.613704	126.547	126.552
2	3	2022-03-04 21:20:47.501252	126.551	126.556
2	3	2022-03-04 21:20:57.450462	126.551	126.556
3	1	2022-03-04 21:21:31.532277	126.529	126.534
3	4	2022-03-04 21:21:41.561580	126.536	126.541
3	4	2022-03-04 21:21:51.509203	126.533	126.538
3	4	2022-03-04 21:22:01.512111	126.52	126.525
3	4	2022-03-04 21:22:11.489035	126.52	126.525
3	4	2022-03-04 21:22:21.480352	126.516	126.521
3	4	2022-03-04 21:22:31.585960	126.525	126.53
3	4	2022-03-04 21:22:41.479693	126.524	126.529
3	4	2022-03-04 21:22:51.555115	126.531	126.536
3	4	2022-03-04 21:23:01.472392	126.534	126.539
3	4	2022-03-04 21:23:11.473956	126.522	126.527
3	4	2022-03-04 21:23:21.567640	126.515	126.52
3	4	2022-03-04 21:23:31.467744	126.525	126.53
3	4	2022-03-04 21:23:41.426717	126.501	126.506
3	4	2022-03-04 21:23:51.519677	126.497	126.502
3	4	2022-03-04 21:24:01.491691	126.517	126.522
3	4	2022-03-04 21:24:11.437877	126.521	126.526
3	4	2022-03-04 21:24:21.490642	126.525	126.53
3	4	2022-03-04 21:24:31.567738	126.527	126.532
3	4	2022-03-04 21:24:41.492720	126.518	126.523
3	4	2022-03-04 21:24:51.468748	126.526	126.531
4	1	2022-03-04 21:26:50.025153	126.514	126.519
4	5	2022-03-04 21:27:00.047297	126.513	126.518
4	5	2022-03-04 21:27:10.236471	126.514	126.519
4	5	2022-03-04 21:27:20.011167	126.515	126.52
4	5	2022-03-04 21:27:29.990504	126.515	126.52
4	5	2022-03-04 21:27:40.126958	126.515	126.52
4	5	2022-03-04 21:27:50.047131	126.515	126.52
4	5	2022-03-04 21:28:00.100402	126.513	126.518
4	5	2022-03-04 21:28:10.122184	126.516	126.521
4	5	2022-03-04 21:28:20.085907	126.517	126.522
4	5	2022-03-04 21:28:30.013241	126.511	126.516
4	5	2022-03-04 21:28:40.085782	126.505	126.51
4	5	2022-03-04 21:28:50.032562	126.506	126.511
4	5	2022-03-04 21:29:00.116925	126.504	126.509
4	5	2022-03-04 21:29:10.084062	126.502	126.507
4	5	2022-03-04 21:29:20.069698	126.502	126.507
4	5	2022-03-04 21:29:30.023573	126.503	126.508
4	5	2022-03-04 21:29:40.043401	126.502	126.507
4	5	2022-03-04 21:29:50.066443	126.511	126.516
4	5	2022-03-04 21:30:00.160523	126.505	126.51
4	5	2022-03-04 21:30:10.133854	126.516	126.521
4	5	2022-03-04 21:30:20.118449	126.517	126.522
4	5	2022-03-04 21:30:30.160553	126.516	126.521
4	5	2022-03-04 21:30:40.173346	126.514	126.519
4	5	2022-03-04 21:30:50.148446	126.514	126.519
4	5	2022-03-04 21:31:00.101857	126.516	126.521
4	5	2022-03-04 21:31:10.169318	126.516	126.521
4	5	2022-03-04 21:31:20.094256	126.516	126.521
4	5	2022-03-04 21:31:30.121825	126.515	126.52
4	5	2022-03-04 21:31:40.033238	126.514	126.519
4	5	2022-03-04 21:31:50.049677	126.514	126.519
5	1	2022-03-04 21:32:18.456101	126.503	126.508
5	6	2022-03-04 21:32:28.620623	126.505	126.51
5	6	2022-03-04 21:32:38.393102	126.502	126.507
6	1	2022-03-04 21:32:53.556265	126.489	126.494
6	7	2022-03-04 21:33:03.597551	126.489	126.494
6	7	2022-03-04 21:33:13.610275	126.501	126.506
6	7	2022-03-04 21:33:23.585364	126.502	126.507
6	7	2022-03-04 21:33:33.607185	126.523	126.528
6	7	2022-03-04 21:33:43.590039	126.526	126.531
6	7	2022-03-04 21:33:53.602022	126.53	126.535
6	7	2022-03-04 21:34:03.592432	126.524	126.529
6	7	2022-03-04 21:34:13.579391	126.527	126.532
6	7	2022-03-04 21:34:23.672501	126.53	126.535
6	7	2022-03-04 21:34:33.591892	126.529	126.534
6	7	2022-03-04 21:34:43.597055	126.525	126.53
6	7	2022-03-04 21:34:53.718295	126.528	126.533
